Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 8:26,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,12/1/2010 8:26,3.39,17850,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 8:26,2.75,17850,United Kingdom
536370,22727,ALARM CLOCK BAKELIKE RED ,24,12/1/2010 8:45,3.75,12583,France
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,12/1/2010 8:45,3.75,12583,France
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,12/1/2010 8:45,0.85,12583,France
536370,21883,STARS GIFT TAPE ,24,12/1/2010 8:45,0.65,12583,France
536370,10002,INFLATABLE POLITICAL GLOBE ,48,12/1/2010 8:45,0.85,12583,France
552731,16156S,WRAP PINK FAIRY CAKES ,25,5/11/2011 10:43,0.42,12372,Denmark
552731,16161U,WRAP SUKI AND FRIENDS,25,5/11/2011 10:43,0.42,12372,Denmark
552731,22045,SPACEBOY GIFT WRAP,25,5/11/2011 10:43,0.42,12372,Denmark
552731,22704,WRAP RED APPLES ,25,5/11/2011 10:43,0.42,12372,Denmark
